SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;0,454909;1,681387;-0,004381;0,010575;0,000103886; 59;58;;-0,000123;0,001253;1,44537e-06; 23;23;;0,003497;0,018120;0,000416171; 90;89
;0,302438;0,800745;-0,004149;0,010024;9,33132e-05; 50;49;;0,000050;0,001448;2,17244e-06; 21;21;;0,005703;0,017467;0,000469764; 76;75
;-1,569811;1,541978;-1,748392;0,882411;0,29871; 44;43;;-1,747824;0,875692;0,298642; 19;19;;-1,744894;0,892286;0,299073; 72;71
;-1,912961;-0,831996;-1,746702;0,865089;0,298711; 54;53;;-1,747490;0,872269;0,298641; 21;21;;-1,750321;0,855565;0,299067; 89;88
;0,704184;0,975799;-0,004139;0,010011;9,304e-05; 49;48;;-0,000051;0,001886;3,46639e-06; 21;21;;1,067216;-0,516638;0,877625; 86;85
;1,870602;-0,991302;1,748457;-0,883081;0,298722; 27;26;;1,747722;-0,875544;0,298641; 15;15;;1,762252;-0,886152;0,299956; 48;47
;-0,726768;0,002869;-0,004327;0,010377;0,000100227; 44;43;;0,001209;-0,002040;4,61818e-06; 18;18;;-1,061953;0,518768;0,87735; 67;66
;1,563219;-1,320658;1,748460;-0,883113;0,298722; 39;38;;1,747676;-0,875637;0,298642; 18;18;;1,743689;-0,892072;0,299134; 65;64
;0,804163;-0,586138;0,004191;-0,010111;9,49949e-05; 57;56;;0,000624;-0,000083;7,32611e-07; 23;23;;1,052791;-0,541303;0,876897; 50;49
;-1,580187;1,535020;-1,748473;0,883241;0,298724; 43;42;;-1,747825;0,875674;0,298642; 19;19;;-1,744952;0,891997;0,299059; 72;71
;-0,125431;-0,451735;0,004393;-0,010625;0,000104802; 43;42;;-0,000029;-0,001248;1,59576e-06; 20;20;;-0,004854;-0,017893;0,000454146; 64;63
;1,206030;1,929563;-0,004163;0,010066;9,40848e-05; 54;53;;0,001123;-0,003540;1,10809e-05; 16;16;;1,071582;-0,516413;0,877735; 96;95

Next Step
;1,471786;-0,701987;1,890443;-0,816290;0,467564; 1002;1001;;1,744451;-0,893166;0,299133; 7;7;;0,002576;-0,000948;1,17285e-05; 17;16
;1,684683;1,255226;1,344200;-0,854938;0,750605; 1002;1001;;nan;nan;nan; 9;9;;1,747486;-0,870937;0,298646; 24;23
;1,373638;1,464095;0,000491;-0,001186;1,30741e-06; 17;16;;nan;inf;nan; 10;10;;1,070858;-0,532552;0,87737; 24;23
;-0,951262;1,146580;-0,000523;0,001263;1,48274e-06; 19;18;;nan;-inf;nan; 10;10;;-1,070077;0,537875;0,877369; 20;19
;-0,962127;0,588824;-0,000565;0,001365;1,73053e-06; 16;15;;nan;nan;nan; 10;10;;-1,068139;0,536630;0,877355; 14;13
;0,923185;-1,027192;0,000518;-0,001250;1,45261e-06; 17;16;;nan;nan;nan; 10;10;;1,069798;-0,538088;0,877371; 19;18
;-0,375439;-0,610065;0,000574;-0,001386;1,78367e-06; 12;11;;0,000113;-0,000328;9,58239e-08; 9;9;;-0,000862;-0,002099;7,70076e-06; 21;20
;-1,437361;0,744835;-1,401538;0,862051;0,675335; 1002;1001;;nan;-inf;nan; 16;16;;-1,072758;0,536845;0,877351; 15;14
;-0,224921;1,921506;-0,000417;0,001007;9,42615e-07; 16;15;;0,000131;-0,000256;6,6074e-08; 10;10;;-0,000273;0,002557;5,98791e-06; 24;23
;-0,129582;0,560625;-0,000513;0,001238;1,42469e-06; 13;12;;-0,000089;0,000282;7,04124e-08; 9;9;;-0,000531;0,002362;4,88899e-06; 20;19
;1,775506;1,585437;0,000509;-0,001229;1,40305e-06; 16;15;;nan;nan;nan; 12;12;;1,747583;-0,871310;0,298645; 25;24
;1,860469;1,715445;0,000515;-0,001243;1,43517e-06; 12;11;;0,000261;-0,000781;5,42268e-07; 8;8;;1,747717;-0,871204;0,298646; 25;24
;-1,274026;0,121158;-1,848020;0,757689;0,396399; 1002;1001;;nan;nan;nan; 8;8;;-1,071632;0,532908;0,877367; 19;18
;-1,808222;0,600543;-1,261897;0,880805;0,859594; 1002;1001;;nan;nan;nan; 9;9;;-1,748299;0,871107;0,298651; 17;16
;-0,654378;-0,304880;-0,000352;0,000851;6,7234e-07; 11;10;;-0,000300;0,000191;1,59229e-07; 9;9;;-1,070007;0,532331;0,877368; 20;19
;-0,601764;0,516556;-0,000480;0,001158;1,24574e-06; 14;13;;0,000122;-0,000226;5,33427e-08; 12;12;;-1,072307;0,537370;0,877356; 19;18
;-0,968352;0,218451;-0,000359;0,000867;6,97685e-07; 16;15;;nan;nan;nan; 9;9;;-1,069822;0,532914;0,877364; 18;17
;1,436262;0,524857;1,838789;-0,800029;0,369791; 1002;1001;;nan;nan;nan; 9;9;;1,070854;-0,532471;0,87737; 22;21
;1,804437;0,014588;1,758740;-0,784045;0,308469; 1002;1001;;nan;nan;nan; 8;8;;1,747771;-0,870978;0,298647; 21;20
;0,180364;-1,535752;0,000522;-0,001259;1,47279e-06; 15;14;;0,000036;-0,000210;3,90792e-08; 10;10;;0,000303;-0,002730;6,80946e-06; 23;22
;-0,241157;-0,034852;-0,000467;0,001127;1,18064e-06; 9;8;;-0,000086;0,000480;2,03691e-07; 7;7;;-0,002877;-0,000638;1,88034e-05; 16;15
;-0,511551;1,256325;-0,000516;0,001246;1,44301e-06; 15;14;;-0,000180;0,000519;2,41224e-07; 9;9;;0,000213;0,002273;5,74244e-06; 22;21
;-1,351176;1,255959;-1,402304;0,887333;0,683028; 1002;1001;;nan;nan;nan; 10;10;;-1,071286;0,537483;0,877364; 21;20
;-1,538926;1,623524;-0,000356;0,000859;6,85894e-07; 17;16;;nan;nan;nan; 7;7;;-1,747476;0,876446;0,298646; 21;20
;0,229316;0,850063;-0,000378;0,000914;7,75471e-07; 14;13;;-0,000182;0,000554;2,72072e-07; 9;9;;0,000657;0,002731;1,01146e-05; 21;20
;1,523301;-1,650990;0,000359;-0,000867;6,98992e-07; 17;16;;nan;nan;nan; 7;7;;1,747819;-0,876730;0,298647; 21;20
;1,981933;-1,186865;0,000504;-0,001218;1,37709e-06; 17;16;;0,000029;-0,000160;2,27918e-08; 13;13;;1,749584;-0,875620;0,298663; 20;19
;0,948820;-0,801965;0,000432;-0,001043;1,01021e-06; 17;16;;nan;nan;nan; 16;16;;1,069419;-0,537992;0,87737; 17;16
;0,847011;1,614246;-0,000452;0,001091;1,10478e-06; 14;13;;0,000200;-0,000156;7,30576e-08; 10;10;;1,070301;-0,532424;0,877369; 24;23
;-0,542192;-0,370556;0,000401;-0,000968;8,69913e-07; 8;7;;0,000183;-0,000169;6,48311e-08; 8;8;;1,069549;-0,537488;0,877367; 20;19
;1,590442;-0,471633;1,715789;-0,775203;0,311027; 1002;1001;;nan;nan;nan; 15;15;;1,746976;-0,871056;0,298646; 18;17
;-1,492050;0,421583;-1,818355;0,803788;0,342832; 1002;1001;;nan;nan;nan; 11;11;;-1,749858;0,874896;0,29867; 33;32
;0,426466;-1,733390;0,000409;-0,000988;9,07105e-07; 16;15;;-0,000238;0,000283;1,26448e-07; 10;10;;0,000462;-0,002943;7,72634e-06; 23;22
;-0,094424;1,336283;-0,000435;0,001051;1,02542e-06; 15;14;;-0,000042;0,000259;5,97118e-08; 10;10;;-0,000166;0,002382;5,33553e-06; 23;22
;0,524003;-1,043184;0,000440;-0,001063;1,05011e-06; 15;14;;0,000139;-0,000598;3,13355e-07; 9;9;;-0,001196;-0,002705;1,34122e-05; 20;19
;-1,636586;1,948119;-0,000534;0,001289;1,54421e-06; 15;14;;nan;-inf;nan; 6;6;;-1,747384;0,876379;0,298646; 22;21
;-1,978881;-1,399518;0,000437;-0,001056;1,03574e-06; 11;10;;0,000065;-0,000320;9,01466e-08; 9;9;;-1,748185;0,870896;0,298651; 24;23
;0,628254;-1,238624;0,000354;-0,000855;6,78804e-07; 16;15;;0,000135;-0,000458;1,84749e-07; 8;8;;1,070583;-0,538223;0,87737; 21;20
;-0,827967;1,132908;-0,000534;0,001289;1,54237e-06; 16;15;;-0,000170;0,000158;5,58518e-08; 13;13;;-1,069739;0,537909;0,877369; 20;19
;0,802942;1,742668;-0,000552;0,001332;1,64927e-06; 14;13;;-0,000041;0,000591;3,28866e-07; 9;9;;1,070342;-0,533019;0,877366; 25;24
;-0,748619;-0,792199;0,000483;-0,001166;1,26323e-06; 11;10;;-0,000212;0,000141;7,99636e-08; 10;10;;-1,070166;0,533002;0,877366; 23;22
;-0,509964;-0,609333;0,000423;-0,001020;9,6664e-07; 12;11;;0,000058;-0,000220;4,25501e-08; 9;9;;0,000220;-0,002851;7,59712e-06; 21;20
;-0,157292;0,835414;-0,000459;0,001108;1,14046e-06; 14;13;;-0,000113;0,000411;1,48116e-07; 9;9;;-0,000476;0,002638;6,15623e-06; 21;20
;0,380078;-0,527909;0,000366;-0,000884;7,25426e-07; 14;13;;0,000169;-0,000237;7,31586e-08; 9;9;;0,001150;-0,002004;4,35489e-06; 20;19
;-0,867397;0,995697;-0,000547;0,001321;1,62149e-06; 16;15;;-0,000090;0,000276;6,75497e-08; 15;15;;-1,069587;0,537962;0,87737; 19;18
;-0,089785;-1,455428;0,000453;-0,001093;1,10979e-06; 15;14;;0,000054;-0,000320;9,09146e-08; 10;10;;-0,000158;-0,002597;7,20606e-06; 23;22
;-0,159490;0,353710;-0,000581;0,001402;1,82478e-06; 12;11;;-0,000091;0,000202;3,89244e-08; 9;9;;-0,001143;0,002631;6,52742e-06; 18;17
;-0,381909;-0,604450;0,000560;-0,001351;1,69663e-06; 12;11;;0,000110;-0,000318;9,04017e-08; 9;9;;-0,000862;-0,002091;7,66413e-06; 21;20
;1,403302;-0,798303;1,688833;-0,865955;0,317153; 1002;1001;;1,745163;-0,866652;0,298707; 14;14;;1,072207;-0,536830;0,877356; 18;17
